ReviewRoutes > add a new review,POST ezelectronics/reviews/:model,Unit,WB
ReviewRoutes > retrieving all reviews of a product,GET ezelectronics/reviews/:model,Unit,WB
ReviewRoutes > deleting the review made by a user for one product,DELETE ezelectronics/reviews/:model,Unit,WB
ReviewRoutes > deleting all reviews of a product,DELETE ezelectronics/reviews/:model/all,Unit,WB
ReviewRoutes > deleting all reviews of all products,DELETE ezelectronics/reviews/,Unit,WB
ReviewDAO>Correctly add a new Review,ReviewDAO.addReview ,Unit,WB
ReviewDAO>user has 1 review,ReviewDAO.userHasReview,Unit,WB
ReviewDAO>user has  0 review,ReviewDAO.userHasReview,Unit,WB
ReviewDAO>get allreviews,ReviewDAO.getReviews ,Unit,WB
ReviewDAO>Correctly deleteUser Review,ReviewDAO.deleteUserReview,Unit,WB
ReviewDAO>Correctly  deleteModelReviews,ReviewDAO.deleteModelReviews,Unit,WB
ReviewDAO>Correctly deleteAllReviews,ReviewDAO.deleteAllReviews,Unit,WB
ReviewController>Correctly add a new Review,ReviewController.addReview,Unit,WB
ReviewController>Invalid review score,ReviewController.addReview,Unit,WB
ReviewController>returns all reviews for a product,ReviewController.getProductReviews,Unit,WB
ReviewController>deletes the review,ReviewController.deleteReview,Unit,WB
ReviewController>deletes the review of product,ReviewController.deleteReviewsOfProduct,Unit,WB
ReviewController>deletes the review of  all products,ReviewController.deleteAllReviews,Unit,WB
ProductDAO > registerProduct > *,ProductDAO.registerProduct,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > changeProductQuantity > *,ProductDAO.changeProductQuantity,Unit,"BB/equal partitioning, BB/boundary"
ProductDAO > sellProduct > *,ProductDAO.sellProduct,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > getProducts > *,ProductDAO.getProducts,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > getAvailableProducts > *,ProductDAO.getAvailableProducts,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > deleteAllProducts > *,ProductDAO.deleteAllProducts,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > deleteProduct > *,ProductDAO.deleteProduct,Unit,"BB/equal partitioning, WB/statement coverage"
ProductDAO > getProductByModel > *,ProductDAO.getProductByModel,Unit,"BB/equal partitioning, WB/statement coverage"
ProductController > registerProducts > *,ProductController.registerProducts,Unit,BB/equal partitioning
ProductController > changeProductQuantity > *,ProductController.changeProductQuantity,Unit,BB/equal partitioning
ProductController > sellProduct > *,ProductController.sellProduct,Unit,BB/equal partitioning
ProductController > getProducts > *,ProductController.getProducts,Unit,BB/equal partitioning
ProductController > getAvailableProducts > *,ProductController.getAvailableProducts,Unit,BB/equal partitioning
ProductController > deleteProduct > *,ProductController.deleteProduct,Unit,"BB/equal partitioning, WB/statement coverage"
